Country,FormalEducation,UndergradMajor,YearsCoding,YearsCodingProf,Employment,CompanySize,DevType,LanguageWorkedWith,ConvertedSalary
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",19.0,19.0,Employed full-time,749.5,Back-end developer;Designer;Front-end developer;Full-stack developer,C#;JavaScript;SQL;HTML;CSS,85000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",4.0,4.0,Employed full-time,2.5,Desktop or enterprise applications developer,C#,69000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",19.0,7.0,Employed full-time,5.0,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;System administrator,C;C++;Java;JavaScript;Objective-C;PHP;Python;SQL;HTML;CSS;Bash/Shell,45000.0
United States,Associate degree,"Information systems, information technology, or system administration",10.0,10.0,Employed full-time,299.5,Back-end developer;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;System administrator,Go;JavaScript;PHP;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,115000.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",16.0,10.0,Employed full-time,10.0,Back-end developer;Data or business analyst;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;QA or test developer,C#;SQL,90000.0
United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",7.0,7.0,Employed full-time,299.5,Back-end developer;DevOps specialist;Full-stack developer,JavaScript;Python;HTML;CSS,44449.0
France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,22.0,22.0,Employed full-time,14.5,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;QA or test developer,C;C++;C#;Java;JavaScript;Matlab;Python;SQL;TypeScript;HTML;CSS,58746.0
United States,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",1.0,1.0,Employed full-time,59.5,Front-end developer,Java;JavaScript;Visual Basic 6,21600.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Web development or web design,10.0,7.0,Employed full-time,59.5,Back-end developer;Front-end developer;Full-stack developer,PHP;HTML;CSS,70000.0
Portugal,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",13.0,13.0,Employed full-time,2.5,Desktop or enterprise applications developer;Embedded applications or devices developer;Full-stack developer,C++;C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS,35244.0
Argentina,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Web development or web design,4.0,4.0,Employed full-time,59.5,Front-end developer,Erlang;Java;JavaScript;PHP;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,28000.0
Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,59.5,Designer;Front-end developer,CoffeeScript;Java;JavaScript;TypeScript;HTML;CSS;Bash/Shell,39732.0
Germany,I never completed any formal education,,7.0,1.0,Employed full-time,5.0,Back-end developer;Front-end developer;Full-stack developer,JavaScript;Swift;HTML;CSS,44064.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,59.5,Engineering manager;Mobile developer,C#;Java;Objective-C;SQL;Swift;TypeScript,115000.0
United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,25.0,25.0,Employed full-time,59.5,Back-end developer;Data or business analyst;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,C#;JavaScript;SQL;TypeScript;HTML;CSS,140000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",19.0,16.0,Employed full-time,59.5,Back-end developer;Full-stack developer,JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,100000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,10.0,Employed full-time,299.5,Data or business analyst,C#;JavaScript;SQL;HTML,55000.0
Ukraine,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",7.0,4.0,Employed full-time,299.5,Back-end developer;Full-stack developer,C#;JavaScript;SQL;VB.NET;HTML;CSS,20880.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,13.0,13.0,Employed full-time,749.5,Front-end developer,JavaScript;PHP;TypeScript;HTML;CSS,78000.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",16.0,16.0,Employed full-time,59.5,Back-end developer,Go;JavaScript;PHP;Python;Swift;Bash/Shell,125000.0
Brazil,,,7.0,7.0,Employed full-time,14.5,Designer;Front-end developer;Mobile developer,JavaScript;PHP;HTML;CSS,12477.0
Serbia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Web development or web design,4.0,1.0,Employed full-time,14.5,Back-end developer;Designer;Front-end developer;Full-stack developer,C#;Java;JavaScript;PHP;SQL;HTML;CSS,19092.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,10.0,Employed full-time,59.5,Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Embedded applications or devices developer;Front-end developer;Full-stack developer;QA or test developer;System administrator,C#;JavaScript;Python;SQL;HTML;CSS,71000.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,13.0,7.0,Employed full-time,59.5,Designer;Front-end developer;Full-stack developer;Game or graphics developer,Erlang;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,79552.0
France,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",30.0,25.0,Employed full-time,10.0,Desktop or enterprise applications developer;Embedded applications or devices developer,C++;Python;SQL;Bash/Shell,38916.0
Russian Federation,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",19.0,13.0,Employed full-time,0.5,Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer;Mobile developer,C#;JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,38208.0
United Kingdom,,,19.0,19.0,Employed full-time,14.5,Back-end developer;Database administrator;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;QA or test developer,C#;JavaScript;PHP;Ruby;SQL;TypeScript;VBA;HTML;CSS;Bash/Shell,104178.0
Sudan,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",13.0,7.0,Employed full-time,14.5,"C-suite executive (CEO, CTO, etc.);Designer;Full-stack developer;Game or graphics developer;Mobile developer",Java;PHP;Python;Swift;Kotlin;HTML;CSS,6840.0
France,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,14.5,Front-end developer,JavaScript;TypeScript;HTML;CSS,33045.0
Sweden,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,749.5,Back-end developer;Full-stack developer;QA or test developer,C#;JavaScript;PHP;Python;HTML;CSS;Bash/Shell,45960.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,4.0,1.0,Employed full-time,299.5,Full-stack developer,C#;CoffeeScript;F#;JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS,105000.0
Mexico,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,59.5,Back-end developer;Data or business analyst;Database administrator,C#;PHP;SQL;HTML;CSS,25140.0
Turkey,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,0.5,Back-end developer;Desktop or enterprise applications developer;Front-end developer,C++;Java,31789.0
Ireland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,0.5,Full-stack developer,Scala;TypeScript;VBA;HTML;Bash/Shell,42836.0
Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",19.0,10.0,Employed full-time,299.5,Embedded applications or devices developer;Full-stack developer,C;C++;C#;JavaScript;PHP;Python;SQL;HTML;CSS,27528.0
Kuwait,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,5.0,Back-end developer;Data or business analyst;Database administrator;Full-stack developer;Product manager;System administrator,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,36000.0
Belarus,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,299.5,Mobile developer,C;Objective-C;Swift;Bash/Shell,38544.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,10.0,Employed full-time,10.0,Back-end developer;Data or business analyst;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer;QA or test developer,Groovy;Java;JavaScript;Python;Ruby;Scala;SQL;Swift;HTML;CSS;Bash/Shell,120000.0
Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,59.5,Full-stack developer;Mobile developer,Java;JavaScript;Swift;HTML;CSS,64417.0
Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",4.0,1.0,Employed full-time,299.5,Data scientist or machine learning specialist;Desktop or enterprise applications developer,R;SQL,24696.0
United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,19.0,19.0,Employed full-time,299.5,Full-stack developer,C#;JavaScript;SQL;HTML;CSS,110000.0
Latvia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",19.0,19.0,Employed full-time,0.5,DevOps specialist;Front-end developer;Full-stack developer,JavaScript;Matlab;PHP;SQL;TypeScript;HTML;CSS;Bash/Shell,82248.0
Argentina,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,13.0,Employed full-time,59.5,Mobile developer,Groovy;Java;JavaScript;Objective-C;Ruby;Swift,49578.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,299.5,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,C#;Groovy;PHP,106500.0
France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,14.5,Back-end developer;DevOps specialist;Front-end developer;Full-stack developer;System administrator,JavaScript;Lua;PHP;Python;SQL;HTML;CSS;Bash/Shell,34269.0
United States,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",13.0,1.0,Employed part-time,59.5,Back-end developer,C;Bash/Shell,135000.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",16.0,16.0,Employed full-time,59.5,Embedded applications or devices developer;Engineering manager,C;Python,160000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,16.0,Employed full-time,299.5,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,Java;JavaScript;TypeScript;HTML;CSS,104000.0
Finland,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,59.5,Full-stack developer;Mobile developer,Java;JavaScript;Objective-C;Python;SQL;Swift;TypeScript;Kotlin;HTML;CSS,52872.0
Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,14.5,Back-end developer;DevOps specialist;Front-end developer;Full-stack developer,C#;F#;JavaScript;Lua;PHP;SQL;TypeScript;HTML;CSS,45092.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,25.0,16.0,Employed full-time,299.5,Full-stack developer,C#;JavaScript;PHP;SQL;VB.NET;HTML;CSS;Bash/Shell,97910.0
Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",4.0,4.0,Employed full-time,10.0,Back-end developer,Java,34176.0
Ukraine,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",1.0,1.0,Employed full-time,59.5,Back-end developer;Desktop or enterprise applications developer;Student,Assembly;C;C++;C#;JavaScript;SQL;Visual Basic 6,6264.0
France,"Professional degree (JD, MD, etc.)","A health science (ex. nursing, pharmacy, radiology)",4.0,4.0,Employed full-time,5.0,Back-end developer;Desktop or enterprise applications developer;System administrator,Go;JavaScript;PHP;Python;HTML;CSS;Bash/Shell,36716.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,2.5,Back-end developer;Full-stack developer,JavaScript;PHP;SQL;TypeScript;HTML;CSS,9396.0
